Data;Índice de Variação de Aluguéis Residenciais (IVAR) - Média Nacional (1463201);Índice de Variação de Aluguéis Residenciais (IVAR) - São Paulo(1463202);Índice de Variação de Aluguéis Residenciais (IVAR) - Rio de Janeiro (1463203);Índice de Variação de Aluguéis Residenciais (IVAR) - Belo Horizonte(1463204);Índice de Variação de Aluguéis Residenciais (IVAR) - Porto Alegre(1463205);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);INCC-Brasil-DI-Todos os itens(1464783);INCC-Brasil-M-Todos os itens(1465235);INCC-Brasil-10-Todos os itens(1464331);INCC-M - 1º Decêndio (%)(1000379);INCC-M - 2º Decêndio (%)(1000366);INCC-M - Fechamento mensal (%)(1000370)
10/2015; - ; - ; - ; - ; - ;65,90;68,500;71,400;66,200;646,355;644,123;637,955;0,12;0,14;0,27
11/2015; - ; - ; - ; - ; - ;68,80;70,000;73,800;66,900;648,542;646,721;640,291;0,23;0,29;0,40
12/2015; - ; - ; - ; - ; - ;67,90;69,100;72,000;66,800;649,216;647,492;642,188;0,22;0,17;0,12
01/2016; - ; - ; - ; - ; - ;67,50;67,300;70,100;65,200;651,759;649,592;643,575;0,05;0,27;0,32
02/2016; - ; - ; - ; - ; - ;67,00;67,900;72,700;63,700;655,263;652,975;645,946;0,31;0,40;0,52
03/2016; - ; - ; - ; - ; - ;65,70;67,600;72,700;62,900;659,446;658,149;649,793;0,30;0,50;0,79
04/2016; - ; - ; - ; - ; - ;63,20;66,900;72,100;62,300;663,057;660,853;654,179;0,00;0,26;0,41
05/2016; - ; - ; - ; - ; - ;63,70;68,700;77,000;60,800;663,610;662,089;656,335;0,25;0,28;0,19
06/2016; - ; - ; - ; - ; - ;63,60;68,900;76,500;61,900;676,420;672,156;659,580;0,08;0,48;1,52
07/2016; - ; - ; - ; - ; - ;64,40;70,400;78,700;62,600;679,751;679,469;671,167;1,69;1,46;1,09
08/2016; - ; - ; - ; - ; - ;64,50;72,300;81,700;63,600;681,756;681,230;672,728;0,10;0,19;0,26
09/2016; - ; - ; - ; - ; - ;64,80;73,400;83,300;63,900;684,025;683,764;675,042;0,23;0,34;0,37
10/2016; - ; - ; - ; - ; - ;64,90;73,800;84,000;64,000;685,489;684,955;676,527;0,04;0,12;0,17
11/2016; - ; - ; - ; - ; - ;64,20;72,400;82,000;63,400;686,607;686,118;677,638;0,27;0,13;0,17
12/2016; - ; - ; - ; - ; - ;63,10;71,500;80,400;63,300;688,985;688,610;679,710;0,12;0,32;0,36
01/2017; - ; - ; - ; - ; - ;63,80;74,200;84,000;64,800;691,792;690,614;681,747;0,22;0,24;0,29
02/2017; - ; - ; - ; - ; - ;63,40;74,100;85,800;62,700;696,314;694,258;684,177;0,39;0,35;0,53
03/2017; - ; - ; - ; - ; - ;63,00;74,900;87,600;62,600;697,410;696,782;688,182;0,54;0,52;0,36
04/2017; - ; - ; - ; - ; - ;62,80;75,700;86,900;64,900;697,244;696,216;688,052;-0,14;-0,09;-0,08
05/2017; - ; - ; - ; - ; - ;62,10;74,200;85,400;63,300;701,664;697,117;687,949;-0,06;0,00;0,13
06/2017; - ; - ; - ; - ; - ;61,50;74,800;85,900;64,100;708,197;706,596;694,257;1,43;1,33;1,36
07/2017; - ; - ; - ; - ; - ;61,80;74,900;85,600;64,700;710,355;708,135;698,553;0,06;0,13;0,22
08/2017; - ; - ; - ; - ; - ;62,10;76,300;87,800;65,200;712,884;710,954;700,420;0,18;0,31;0,40
09/2017; - ; - ; - ; - ; - ;65,60;77,300;88,900;66,200;713,330;711,971;702,867;0,19;0,22;0,14
10/2017; - ; - ; - ; - ; - ;65,40;77,700;89,600;66,200;715,527;713,354;703,645;0,06;0,11;0,19
11/2017; - ; - ; - ; - ; - ;63,80;78,500;89,000;68,300;717,751;715,318;705,771;0,29;0,28;0,28
12/2017; - ; - ; - ; - ; - ;64,00;80,400;91,900;69,400;718,276;716,287;707,890;0,30;0,27;0,14
01/2018; - ; - ; - ; - ; - ;66,20;81,800;94,700;69,300;720,495;718,303;708,459;0,14;0,19;0,28
02/2018; - ; - ; - ; - ; - ;65,50;80,700;91,800;70,100;721,414;719,332;710,726;0,25;0,26;0,14
03/2018; - ; - ; - ; - ; - ;65,00;81,600;92,600;70,900;723,163;720,953;711,589;0,23;0,20;0,23
04/2018; - ; - ; - ; - ; - ;65,00;81,900;92,900;71,100;725,245;722,983;713,721;0,34;0,37;0,28
05/2018; - ; - ; - ; - ; - ;64,70;82,400;94,600;70,400;726,923;725,186;716,161;0,38;0,44;0,30
06/2018; - ; - ; - ; - ; - ;65,60;80,100;89,800;70,800;733,984;730,710;718,726;0,18;0,48;0,76
07/2018; - ; - ; - ; - ; - ;65,50;81,100;91,100;71,300;738,487;735,987;725,351;0,91;0,90;0,72
08/2018; - ; - ; - ; - ; - ;65,00;79,700;88,300;71,500;739,583;738,158;728,654;0,41;0,36;0,30
09/2018; - ; - ; - ; - ; - ;66,40;80,100;88,600;72,000;741,305;739,432;729,853;0,10;0,19;0,17
10/2018; - ; - ; - ; - ; - ;66,00;82,000;91,800;72,500;743,866;741,859;732,081;0,31;0,36;0,33
11/2018; - ; - ; - ; - ; - ;64,70;84,400;95,800;73,300;744,865;743,755;734,047;0,29;0,28;0,26
12/2018;100,000;100,000;100,000;100,000;100,000;66,60;84,800;95,900;74,000;745,856;744,699;734,933;0,06;0,10;0,13
01/2019;99,852;99,731;100,831;100,590;98,618;66,70;84,300;94,700;74,300;749,517;747,656;737,028;0,27;0,38;0,40
02/2019;100,043;100,482;100,794;100,279;98,456;67,00;84,200;95,000;73,800;750,180;749,111;740,039;0,25;0,29;0,19
03/2019;99,705;100,414;100,231;99,529;98,154;65,30;82,600;93,300;72,200;752,524;750,558;740,524;0,02;0,11;0,19
04/2019;99,062;100,296;99,800;97,362;97,262;66,20;82,800;92,400;73,400;755,373;754,203;743,088;0,36;0,39;0,49
05/2019;99,063;100,648;99,912;96,460;97,069;66,30;81,400;90,000;73,000;755,625;754,859;745,423;0,09;0,06;0,09
06/2019;99,901;101,605;100,734;97,406;97,686;68,30;83,600;93,300;74,000;762,304;758,177;745,754;-0,07;0,00;0,44
07/2019;101,081;102,493;101,095;100,125;99,400;68,90;85,600;96,300;75,200;766,699;765,053;753,800;1,22;0,93;0,91
08/2019;101,345;102,566;100,932;101,805;99,687;69,60;87,400;97,800;77,400;769,951;767,682;756,426;0,11;0,15;0,34
09/2019;100,532;101,788;99,660;101,111;99,247;69,40;87,000;96,700;77,500;773,520;772,310;762,422;0,50;0,67;0,60
10/2019;98,767;99,970;98,062;99,071;97,527;70,10;87,400;96,700;78,400;774,939;773,273;763,135;0,11;0,10;0,12
11/2019;96,188;97,379;95,288;95,538;95,662;70,50;88,800;97,500;80,400;775,225;774,421;764,691;0,29;0,24;0,15
12/2019;94,923;96,268;94,621;94,379;93,470;71,90;91,500;101,400;81,800;776,839;775,490;765,139;-0,12;0,00;0,14
01/2020;95,200;96,313;94,264;93,517;92,722;70,90;94,300;105,100;83,700;779,766;777,470;767,008;0,20;0,17;0,26
02/2020;97,868;100,312;96,908;95,730;93,379;70,60;92,700;99,400;86,200;782,336;780,184;770,338;0,37;0,44;0,35
03/2020;96,872;99,927;95,977;92,898;92,425;69,60;91,200;96,400;86,200;784,338;783,150;772,370;0,34;0,37;0,38
04/2020;95,773;99,572;95,368;90,340;90,683;57,60;64,800;59,400;70,800;786,070;784,523;774,598;0,16;0,22;0,18
05/2020;92,858;96,518;92,725;87,157;88,067;61,70;68,200;70,100;66,900;787,666;786,132;776,073;0,18;0,21;0,21
06/2020;93,638;97,198;93,027;88,902;88,701;68,00;77,100;83,300;71,400;790,331;788,616;777,686;0,27;0,25;0,32
07/2020;93,424;96,710;92,168;89,758;88,692;69,90;83,500;91,400;75,800;799,589;795,235;782,524;0,19;0,64;0,84
08/2020;93,524;96,346;92,544;90,286;89,156;73,50;87,500;93,600;81,700;805,356;801,777;790,447;1,26;0,96;0,82
09/2020;93,339;95,989;92,526;90,551;88,902;72,10;90,700;95,100;86,400;814,701;810,965;796,742;0,88;0,98;1,15
10/2020;95,529;97,732;94,896;93,644;91,161;74,50;94,400;97,700;91,300;828,778;824,636;808,766;1,26;1,50;1,69
11/2020;96,874;98,573;96,024;96,689;92,445;72,70;93,500;95,900;91,200;839,382;835,305;820,972;1,31;1,38;1,29
12/2020;98,799;100,405;98,412;99,370;93,776;72,90;93,700;95,300;92,200;845,268;842,683;830,143;1,24;1,20;0,88
01/2021;98,813;100,582;98,329;99,258;93,646;74,00;93,000;95,800;90,400;852,809;850,495;836,437;0,94;0,97;0,93
02/2021;98,265;100,535;97,904;97,725;92,780;73,30;92,400;94,700;90,100;868,929;859,573;844,608;0,60;1,00;1,07
03/2021;97,686;100,605;97,116;95,797;92,035;71,80;89,400;91,300;87,500;880,265;876,750;861,159;1,24;1,31;2,00
04/2021;96,663;99,543;96,130;95,092;90,895;77,10;84,600;85,500;84,000;888,191;885,093;871,830;1,04;1,30;0,95
05/2021;96,703;99,334;95,954;96,060;90,926;74,40;87,200;89,400;85,300;907,899;901,032;880,764;0,97;1,25;1,80
06/2021;97,103;98,578;95,615;98,993;92,189;77,40;92,200;95,200;89,300;927,512;921,762;905,486;2,25;2,75;2,30
07/2021;97,585;98,688;95,995;99,774;93,164;73,70;95,500;101,900;89,200;935,359;933,230;917,932;1,68;1,32;1,24
08/2021;97,717;98,329;96,298;100,217;93,838;73,10;96,100;100,500;91,900;939,699;938,475;925,219;0,48;0,58;0,56
09/2021;96,858;97,453;95,973;98,312;93,337;75,00;95,300;98,100;92,600;944,520;943,736;929,201;0,38;0,43;0,56
10/2021;96,790;97,337;96,439;98,670;92,798;75,60;95,000;98,500;91,700;952,596;951,249;934,120;0,25;0,33;0,80
11/2021;97,552;98,093;97,851;99,657;93,050;77,30;95,300;98,700;92,000;959,001;957,984;942,967;0,40;0,60;0,71
12/2021;98,196;98,567;98,863;100,826;93,446;76,40;96,900;100,900;93,100;962,321;960,894;948,042;0,51;0,30;0,30
01/2022;100,025;100,981;100,148;102,923;94,436;74,90;93,900;96,800;91,100;969,184;967,003;952,796;0,30;0,57;0,64
02/2022;102,946;103,380;102,700;106,835;97,842;75,20;94,500;98,300;90,800;972,904;971,651;958,565;0,51;0,44;0,48
03/2022;103,783;104,723;104,179;109,318;96,619;76,00;93,800;95,700;92,000;981,244;978,717;961,830;0,23;0,27;0,73
04/2022;104,630;106,058;104,498;109,237;97,411;75,80;97,000;100,300;94,000;990,543;987,218;973,064;1,03;1,36;0,87
05/2022;105,245;105,781;105,862;111,394;98,254;76,00;96,500;100,600;92,400;1013,164;1001,923;980,309;0,67;0,70;1,49
06/2022;104,919;106,694;105,584;106,805;97,989;77,10;97,200;100,900;93,800;1034,824;1030,105;1012,607;3,05;3,33;2,81
07/2022;106,025;107,565;105,993;109,466;99,042;77,90;96,500;98,800;94,500;1043,760;1042,029;1025,398;1,37;1,23;1,16
08/2022;107,887;108,681;107,217;112,859;101,643;77,70;97,900;99,600;96,300;1044,679;1045,469;1033,032;0,49;0,54;0,33
09/2022;107,867;108,488;108,038;113,151;101,269;78,00;100,200;103,200;97,300;1045,616;1046,507;1032,866;-0,07;0,07;0,10
10/2022;107,975;107,735;108,079;114,123;102,382;77,10;99,400;101,200;97,600;1046,896;1046,956;1032,948;-0,02;-0,06;0,04
11/2022;107,582;107,391;109,754;112,741;101,226;79,20;95,300;94,500;96,300;1050,701;1048,429;1034,889;0,03;0,17;0,14
12/2022;106,302;106,254;107,111;112,225;100,123;78,30;95,300;94,600;96,200;1051,632;1051,249;1038,604;0,46;0,38;0,27
01/2023;110,764;109,267;108,667;113,033;110,290;78,90;94,600;94,300;95,100;1056,418;1054,561;1040,094;0,28;0,35;0,32
02/2023;111,939;111,561;112,047;119,784;105,098;77,70;95,100;96,300;94,100;1056,896;1056,775;1043,529;0,31;0,23;0,21
03/2023;113,022;112,391;114,852;125,491;103,337;77,90;95,300;96,800;94,000;1060,116;1058,650;1044,810;-0,02;0,12;0,18
04/2023;113,884;114,978;114,567;120,681;104,621;79,80;95,200;96,200;94,500;1061,635;1061,071;1047,123;0,30;0,24;0,23
05/2023;113,817;112,658;118,177;124,405;104,277;79,90;94,500;96,000;93,300;1067,919;1065,289;1048,057;0,10;0,02;0,40
06/2023;113,271;114,398;114,901;118,213;104,143;80,20;94,000;95,000;93,200;1075,540;1074,292;1060,504;0,72;1,31;0,85
07/2023;113,844;113,993;116,055;121,213;104,743;79,50;95,200;96,500;94,100;1076,626;1074,895;1060,643;0,01;0,03;0,06
08/2023;115,967;115,657;117,321;124,653;107,358;79,00;95,500;96,700;94,600;1078,412;1077,497;1062,417;0,13;0,22;0,24
09/2023;113,950;115,262;118,583;124,631;100,028;79,40;96,500;97,500;95,800;1082,104;1080,071;1064,314;-0,04;0,13;0,24
10/2023;116,002;114,399;116,629;126,088;108,700;79,30;95,200;96,200;94,300;1084,242;1082,251;1068,145;0,23;0,28;0,20
11/2023;115,573;113,282;119,930;124,310;107,972;79,00;96,100;98,000;94,400;1084,986;1083,335;1070,105;0,18;0,26;0,10
12/2023;114,229;111,450;115,969;125,159;107,859;78,80;96,000;98,200;94,000;1088,312;1086,150;1070,214;-0,01;0,10;0,26
01/2024;119,188;115,530;117,466;124,960;118,498;77,10;95,800;97,200;94,700;1091,250;1088,663;1074,387;0,22;0,31;0,23
02/2024; - ; - ; - ; - ; - ;78,50;97,600;99,700;95,500; - ;1090,871;1075,467;0,29;0,14;0,20
